http://www.kmu.gov.ua/,"КМУ. Кабинет министров Украины", 1
http://www.president.gov.ua/,"Президент Украины", 2
http://zakon.rada.gov.ua/,"Законодательство Украины", 3
http://www.bank.gov.ua/,"Национальный банк Украины. НБУ", 4
http://www.mil.gov.ua/,"Министерство обороны Украины", 5
http://www.mns.gov.ua/,"МЧС Украины", 6
http://www.sta.gov.ua/,"Государственная налоговая служба Украины", 7
http://www.mon.gov.ua/,"Министерство образования и науки Украины", 8
http://www.ukrstat.gov.ua/,"Государственный комитет статистики Украины", 9
http://www.menr.gov.ua/,"Министерство охраны окружающей природной среды Укр", 10
http://www.minfin.gov.ua/,"Министерство финансов Украины", 11
http://www.me.gov.ua/,"Министерство экономики и по вопросам европейской и", 12
http://portal.rada.gov.ua/,"ВРУ. Сервер Верховной Рады Украины", 13
http://www.mlsp.gov.ua/,"Министерство труда и социальной политики Украины", 14
http://www.dkrp.gov.ua/,"Госпредпринимательство", 15
http://www.rainbow.gov.ua/,"Совет национальной безопасности и обороны Украины", 16
http://www.sbu.gov.ua/,"СБУ. Служба безопасности Украины", 17
http://www.scourt.gov.ua/,"Сервер Верховного Суда Украины", 18
http://mincult.kmu.gov.ua/,"Министерство культуры и искусств Украины", 19
http://www.stc.gov.ua/,"Госкомитет связи и информатизации Украины", 20
http://mvs.gov.ua/,"Министерство внутренних дел", 21
http://www.customs.gov.ua/,"Государственная таможенная служба Украины", 22
http://www.spfu.gov.ua/,"Фонд государственного имущества Украины", 23
http://www.ac-rada.gov.ua/,"Счетная палата Украины", 24
http://www.pfu.gov.ua/,"Пенсионный фонд Украины", 25
http://www.ombudsman.kiev.ua/,"Уполномоченный по правам человека", 26
http://www.odessa.ua/,"Официальный сайт Одесского городского совета", 27
http://www.dcz.gov.ua/,"Государственный центр занятости Украины", 28
http://ssmsc.gov.ua/,"Государственная Комиссия по ценным бумагам и фондовому рынку", 29
http://www.vru.gov.ua/,"Высший совет юстиции Украины", 30
http://www.build.gov.ua/,"Госстрой Украины", 31
http://www.dstszi.gov.ua/,"Государственная служба специальной связи и защиты информации Украины", 32
http://www.dnop.kiev.ua/,"Госгорпромнадзор", 33
http://www.centrmia.gov.ua/,"Министерство внутренних дел Украины", 34
http://www.scwm.gov.ua/,"Государственный комитет Украины по водному хозяйст", 35
http://www.dfp.gov.ua/,"Государственная комиссия по регулированию рынков ф", 36
http://www.scnm.gov.ua/,"Государственный Комитет Украины по делам националь", 37
http://www.ndu.gov.ua/,"Национальный депозитарий Украины", 38
